customer_id,age,gender,city,car_brand,car_model,engine_cc,vehicle_age_years,vehicle_value_inr,driving_score,annual_mileage_km,previous_claims_count,years_licensed,claim_occurred,actual_claim_amount_inr,claim_probability_true,risk_level
e93b4075-51d4-446b-b9ac-9dae4cb77efc,20,female,coimbatore,maruti,Baleno,1103,11,281000.0,71.6,8319,1,2,0,,0.3176,high
ca623b33-4dc8-415f-b178-ef75293fac65,28,female,delhi,maruti,Swift,1149,2,1299000.0,96.3,15999,0,6,0,,0.02,low
2c3651fb-b60c-4efe-b9cd-f983d882dc22,54,male,coimbatore,hyundai,Creta,1796,1,1077000.0,66.9,13375,1,34,0,,0.1609,medium
12774060-a148-4e94-a583-bc84eaadbd56,32,female,surat,ford,Mustang,2374,11,166000.0,39.8,17573,1,9,0,,0.2412,medium
b57d4f32-1210-4253-b8ec-35ce74714049,39,male,surat,honda,Jazz,2056,5,220000.0,42.6,15659,0,5,0,,0.1534,medium
2d4ccef8-ffb2-4e3f-b479-469ee183a452,40,female,lucknow,maruti,Baleno,1612,11,293000.0,48.2,9676,3,1,1,133300.0,0.4072,high
e2e559a4-3c39-4b5c-80ce-f7ceffcb1f42,50,female,kanpur,volkswagen,Tiguan,1291,7,619000.0,61.3,13417,1,4,0,,0.1575,medium
fb45dd18-60ef-434e-8dc6-78bdf401b2a0,56,male,bhopal,skoda,Superb,1688,4,1612000.0,64.2,6245,1,20,1,717300.0,0.1982,medium
e19cb4a9-5e12-418f-8dbf-8877c88b4918,59,male,coimbatore,maruti,Baleno,1757,1,512000.0,59.5,19570,0,41,0,,0.1315,medium
0009fd21-34f7-41ea-b5c0-18acdbc5edb0,62,male,nagpur,maruti,Swift,1341,2,979000.0,39.7,15375,0,30,0,,0.1912,medium
c173a1dd-888a-44b3-a531-a0cd554a05e6,83,male,bangalore,ford,Mustang,2417,6,506000.0,71.5,20741,0,30,0,,0.1457,medium
474f3197-fd56-4c04-b818-800a4a1b2f83,72,female,kolkata,hyundai,Verna,1614,4,445000.0,98.9,16602,2,20,0,,0.2205,medium
1e3116b7-cf3d-4bd7-8ef9-4df436088aee,26,male,surat,maruti,Baleno,1024,8,257000.0,68.2,17010,1,4,1,147200.0,0.1629,medium
e3586f93-55d3-4ed0-95b9-7a9c7c41a38f,24,male,kolkata,renault,Duster,1290,1,948000.0,48.1,16732,1,3,0,,0.3572,high
3f4164a2-a523-475a-a2aa-b2249927e4c1,47,male,nagpur,maruti,Swift,1625,6,407000.0,64.3,12164,0,28,1,32900.0,0.0631,low
e759d7e2-5766-4935-8f7a-0a618a6cd751,39,male,coimbatore,tata,Punch,1092,14,139000.0,95.6,37882,0,15,0,,0.133,medium
74c5d1a3-e790-48b9-a298-0f5b056ae9a2,23,male,patna,maruti,Alto,1360,0,897000.0,69.9,6843,0,5,0,,0.2032,medium
3a01465d-52d0-47f2-81da-8a80068d3c74,43,female,agra,maruti,Dzire,1758,8,254000.0,65.0,7132,0,23,0,,0.0864,low
0fcfecb6-e7a7-4cf5-a2d7-51342efb6668,45,female,delhi,honda,Amaze,2334,9,252000.0,85.5,11782,1,13,1,93000.0,0.1302,medium
034ab1eb-48de-4424-95b9-7ce1ea574b1e,59,male,pune,maruti,Swift,1479,15,170000.0,56.3,6113,1,10,0,,0.2512,high
22c0e2dd-9849-490e-a057-2b31475ef376,44,female,delhi,volkswagen,Taigun,2046,12,988000.0,62.9,24799,1,26,0,,0.2265,medium
9d92a30e-925f-405d-a5ce-c7587c9a79cc,70,male,jaipur,hyundai,i20,1557,5,165000.0,57.9,14612,0,11,0,,0.1055,medium
c5cc0362-b66e-41b2-852d-cda17dd419d8,36,female,indore,maruti,Swift,1498,0,999000.0,72.5,21205,3,10,0,,0.32,high
b6fea2f3-4eb1-4b8a-a6bd-8d90d1709ac4,72,female,vadodara,maruti,Dzire,903,1,797000.0,67.1,15407,1,40,0,,0.2712,high
640dd738-eb69-4317-849f-5c70846dfcd0,78,male,patna,maruti,WagonR,1159,8,418000.0,80.4,15257,1,38,0,,0.2381,medium
7c6ff915-10da-440d-9aad-ff4a9d2c5162,45,male,indore,maruti,WagonR,1608,6,136000.0,79.2,9828,0,22,0,,0.02,low
f45bae4d-245a-4b91-ad3d-0377476e138d,79,female,pune,renault,Triber,1210,3,661000.0,59.8,27564,0,11,1,121500.0,0.1798,medium
2a059006-1785-4f89-a3ba-b4c4546cfd27,43,male,patna,tata,Harrier,1317,4,783000.0,99.3,10158,0,11,0,,0.02,low
