customer_id,age,gender,city,annual_income_inr,vehicle_brand,vehicle_segment,fuel_type,vehicle_age_years,vehicle_value_inr,years_licensed,annual_mileage_km,previous_claims,driving_score,claim_probability,claim_occurred,actual_claim_amount_inr,expected_loss_inr,risk_level,premium_inr
CUST_000001,23,Female,Kota,1235987,MG,SUV,Petrol,0,1625145,4,17329,0,57.96,0.175917,1,108648.0,20752.73,Medium,32219.0
CUST_000002,62,Female,Kolkata,5000000,Hyundai,Sedan,Petrol,4,1323437,30,14006,0,89.06,0.033818,0,0.0,2643.83,Low,3569.0
CUST_000003,55,Female,Nashik,960750,Honda,SUV,Diesel,9,1996542,27,27143,0,86.09,0.074443,0,0.0,9100.99,Low,12286.0
CUST_000004,43,Male,Kochi,2078214,Mahindra,SUV,Petrol,4,2086019,13,20100,0,69.46,0.079548,0,0.0,10711.92,Low,14461.0
CUST_000005,43,Male,Ranchi,2488356,Renault,SUV,Petrol,0,2224977,13,19321,0,92.95,0.044828,0,0.0,6667.0,Low,9000.0
CUST_000006,67,Male,Hyderabad,3110283,Nissan,SUV,Petrol,10,1297782,33,14842,1,73.08,0.465697,1,47949.0,40594.87,High,54803.0
CUST_000007,22,Male,Vadodara,2924053,Maruti,Sedan,Petrol,3,1216342,2,21824,0,86.6,0.300582,1,80548.0,20359.04,High,31607.0
CUST_000008,58,Female,Ahmedabad,5000000,Tata,Hatchback,Petrol,0,446134,25,9603,1,80.75,0.076562,1,27062.0,1800.51,Low,3000.0
CUST_000009,29,Female,Kanpur,2798920,Toyota,SUV,Petrol,7,1441193,4,16854,0,98.7,0.151321,0,0.0,13159.41,Medium,17765.0
CUST_000010,23,Female,Hyderabad,1072262,Volkswagen,Luxury,Diesel,0,3425199,5,22699,1,79.93,0.66805,1,340542.0,284226.06,High,150000.0
CUST_000011,48,Male,Guwahati,1591951,Maruti,Hatchback,EV,4,631965,19,10236,0,42.19,0.077097,1,38722.0,2926.33,Low,3951.0
CUST_000012,74,Male,Kolkata,3463453,Tata,Hatchback,Petrol,0,580482,40,14425,1,80.16,0.23175,1,31922.0,7100.9,Medium,10545.0
CUST_000013,60,Female,Ranchi,3018524,Tata,SUV,Diesel,15,1935971,28,15365,0,82.49,0.118848,0,0.0,11906.82,Medium,16074.0
CUST_000014,62,Male,Delhi,3262852,MG,Hatchback,Diesel,3,544566,29,22250,2,78.87,0.583731,1,28532.0,18263.81,High,24656.0
CUST_000015,59,Male,Surat,2413692,Renault,SUV,Diesel,1,2444342,33,6262,0,76.31,0.045273,0,0.0,9111.01,Low,12300.0
CUST_000016,63,Female,Surat,2991876,Honda,Luxury,Diesel,3,5610328,33,18205,1,82.88,0.120444,0,0.0,71325.78,Medium,96290.0
CUST_000017,47,Female,Kolkata,3186118,Kia,Hatchback,Petrol,4,624836,20,16274,0,96.92,0.061577,0,0.0,1714.93,Low,3000.0
CUST_000018,25,Male,Bhopal,1330630,Skoda,Hatchback,CNG,1,369621,4,21464,0,77.35,0.182836,1,15915.0,2725.56,Medium,3680.0
CUST_000019,66,Male,Kolkata,4815946,Volkswagen,Luxury,Petrol,1,4384208,33,24180,0,72.25,0.145118,0,0.0,67710.65,Medium,91409.0
CUST_000020,44,Female,Chennai,1859587,Maruti,Hatchback,Diesel,8,489858,16,15232,1,67.58,0.21316,0,0.0,5246.64,Medium,7083.0
CUST_000021,47,Female,Patna,933620,Toyota,SUV,Petrol,2,800000,17,11274,1,77.6,0.124906,0,0.0,7431.46,Medium,10032.0
CUST_000022,39,Male,Agra,2445549,Renault,Sedan,Petrol,1,1027675,8,30671,0,82.19,0.051715,1,60333.0,3130.16,Low,4226.0
CUST_000023,28,Female,Agra,1457945,Toyota,Sedan,Petrol,5,1180618,6,26829,0,96.38,0.068164,0,0.0,4171.83,Low,5632.0
CUST_000024,71,Male,Bhubaneswar,1757089,Maruti,Luxury,Petrol,6,2064132,29,29407,0,82.83,0.117322,1,152016.0,18934.23,Medium,28117.0
CUST_000025,63,Female,Agra,1025783,Tata,SUV,Petrol,2,1535069,24,6612,0,73.54,0.073371,0,0.0,8148.13,Low,11000.0
CUST_000026,55,Male,Ahmedabad,2859100,Maruti,Sedan,Diesel,1,1215864,29,27815,0,89.63,0.05748,0,0.0,4947.35,Low,6679.0
CUST_000027,41,Female,Guwahati,1353973,Toyota,SUV,Diesel,5,1772112,11,8710,0,70.22,0.047829,0,0.0,5971.44,Low,8061.0
CUST_000028,65,Female,Jodhpur,1510667,Toyota,SUV,Petrol,11,2043732,31,25997,1,86.55,0.312408,1,107598.0,34259.29,High,46250.0
CUST_000029,49,Male,Lucknow,2232948,Hyundai,Luxury,Petrol,6,3397286,19,18896,0,65.63,0.103963,0,0.0,31053.74,Medium,41923.0
CUST_000030,43,Male,Guwahati,1453824,Maruti,Sedan,EV,15,1035306,18,22961,0,94.41,0.087933,0,0.0,4648.13,Low,6275.0
CUST_000031,44,Female,Kota,1134099,Volkswagen,Hatchback,CNG,15,350000,22,27730,0,80.32,0.054991,0,0.0,491.65,Low,3000.0
CUST_000032,31,Male,Visakhapatnam,1119779,Mahindra,SUV,Petrol,4,1961171,7,16881,0,85.14,0.119295,0,0.0,15717.12,Medium,21218.0
CUST_000033,23,Female,Raipur,2039140,Tata,Sedan,Diesel,9,952689,3,9538,0,78.18,0.144325,0,0.0,6971.35,Medium,10823.0
CUST_000034,50,Male,Bangalore,1883476,Maruti,Hatchback,Petrol,13,589351,27,17981,1,79.23,0.507398,1,19148.0,11347.74,High,15319.0
CUST_000035,69,Male,Kolkata,1239913,Mercedes,Sedan,Petrol,5,988646,28,19897,0,86.93,0.063674,0,0.0,3649.02,Low,4926.0
CUST_000036,21,Female,Bangalore,2099538,Mercedes,SUV,Diesel,2,1815120,1,11909,1,75.04,0.815852,1,147359.0,135558.7,High,150000.0
CUST_000037,67,Male,Hyderabad,1898427,Mercedes,SUV,EV,8,1717306,31,35750,0,98.31,0.225777,0,0.0,34903.03,Medium,47119.0
CUST_000038,66,Female,Surat,1575629,Maruti,Luxury,Petrol,15,3812454,35,21711,0,76.67,0.309862,1,203486.0,78449.48,High,105907.0
CUST_000039,34,Male,Chennai,4294481,Hyundai,Sedan,Petrol,1,1103609,10,18665,1,55.11,0.3506,0,0.0,27466.09,High,37079.0
CUST_000040,54,Male,Ahmedabad,1673360,MG,SUV,Diesel,9,1757552,28,17603,0,84.42,0.090115,0,0.0,11490.08,Low,15512.0
