customer_id,age,gender,city,annual_income_inr,vehicle_brand,vehicle_segment,fuel_type,vehicle_age_years,vehicle_value_inr,years_licensed,annual_mileage_km,previous_claims,driving_score,claim_probability,claim_occurred,actual_claim_amount_inr,expected_loss_inr,risk_level,premium_inr
CUST000001,56,Male,Pune,4746048,Maruti,Hatchback,Petrol,6,1012272,38,21977,0,87.1,0.4241,0,0,38172.0,Medium,54532
CUST000002,69,Female,Ahmedabad,2057830,Hyundai,SUV,Petrol,0,2641745,40,12131,0,98.1,0.1926,0,0,17333.0,Low,26399
CUST000003,46,Female,Coimbatore,1366590,Ford,Hatchback,Diesel,10,1882919,28,30562,0,78.7,0.6276,1,78118,49024.0,High,69182
CUST000004,32,Male,Indore,4021720,Skoda,Hatchback,Petrol,8,1325863,19,28895,2,53.8,0.9605,1,28225,27110.0,High,39599
CUST000005,60,Male,Delhi,1747066,Skoda,Hatchback,EV,2,663142,40,7309,0,95.3,0.235,1,148120,34803.0,Medium,49984
CUST000006,25,Male,Mumbai,1221729,Jeep,Hatchback,Petrol,10,3799205,20,26475,0,75.0,0.6602,1,94513,62402.0,High,87242
CUST000007,38,Female,Bengaluru,3396824,Ford,Hatchback,Diesel,3,1522370,20,33086,0,76.7,0.5212,1,171402,89331.0,High,123597
CUST000008,56,Male,Kolkata,4126208,Kia,Sedan,Petrol,6,2178312,38,10961,0,80.3,0.4814,0,0,43329.0,High,61494
CUST000009,36,Male,Kolkata,3031644,Volkswagen,Hatchback,Petrol,4,2533831,18,35798,0,73.4,0.5888,0,0,52995.0,High,74543
CUST000010,40,Female,Hyderabad,4806306,Skoda,Sedan,Diesel,4,1564858,23,25197,1,76.6,0.7089,0,0,63803.0,High,89134
CUST000011,28,Female,Bhubaneswar,4578936,Skoda,SUV,Petrol,0,1104522,10,6995,1,81.4,0.5372,0,0,48345.0,High,68266
CUST000012,28,Male,Ahmedabad,2897308,Renault,SUV,EV,1,771325,10,17923,0,99.5,0.2035,1,40161,8173.0,Medium,14033
CUST000013,41,Female,Bhubaneswar,4182129,BMW,Hatchback,Diesel,4,1210066,23,8555,2,62.7,0.9022,1,58597,52866.0,High,74369
CUST000014,70,Male,Patna,1833721,Mercedes,SUV,Diesel,1,1955266,40,8233,0,96.2,0.2142,1,54064,11581.0,Medium,18635
CUST000015,53,Male,Delhi,1806654,Skoda,Hatchback,CNG,0,1254344,35,10466,0,96.9,0.1993,1,91189,18171.0,Low,27531
CUST000016,57,Female,Ahmedabad,730814,Mercedes,Hatchback,Petrol,9,1692658,39,33301,1,73.6,0.8213,1,61831,50782.0,High,71555
CUST000017,41,Male,Delhi,3066942,Hyundai,SUV,Petrol,2,3107819,23,34729,0,84.5,0.4092,0,0,36832.0,Medium,52723
CUST000018,20,Female,Surat,4700093,MG,SUV,CNG,10,917876,17,23405,0,73.6,0.6694,1,30588,20477.0,High,30644
CUST000019,39,Female,Bengaluru,4081989,Toyota,SUV,Petrol,0,1611395,23,11989,1,95.5,0.3759,1,104254,39193.0,Medium,55910
CUST000020,70,Female,Jaipur,2489013,Renault,Hatchback,Petrol,9,2853977,40,33739,0,67.8,0.7347,1,64836,47636.0,High,67308
CUST000021,19,Female,Kochi,3647344,Ford,Luxury,Petrol,7,2455850,25,28762,1,67.0,0.8385,1,138205,115887.0,High,150000
CUST000022,41,Male,Lucknow,2927092,Volkswagen,Hatchback,CNG,7,3570058,23,33323,0,73.3,0.6412,0,0,57706.0,High,80902
CUST000023,61,Female,Coimbatore,3497967,Maruti,Hatchback,CNG,7,643949,40,30342,2,56.3,0.9526,1,60134,57283.0,High,80332
CUST000024,47,Male,Mumbai,3320916,Ford,Hatchback,Diesel,6,1454279,29,21978,1,72.1,0.7762,1,194947,151317.0,High,150000
CUST000025,55,Male,Patna,2207332,Hyundai,Hatchback,Petrol,6,3167960,37,38819,2,46.6,0.9703,1,85916,83367.0,High,115546
CUST000026,19,Female,Ahmedabad,1993959,Ford,Luxury,Diesel,1,3730113,4,33555,0,90.8,0.315,1,161986,51028.0,Medium,71888
CUST000027,38,Male,Nagpur,4274994,Nissan,Sedan,Petrol,8,1320781,20,18074,1,71.7,0.8,1,102176,81743.0,High,113354
CUST000028,50,Male,Mumbai,3644119,Ford,Hatchback,Petrol,6,3227084,32,12970,0,88.2,0.3896,0,0,35067.0,Medium,50340
CUST000029,29,Female,Bengaluru,855920,Jeep,Hatchback,Petrol,4,2464269,15,36157,0,80.3,0.5044,1,130198,65672.0,High,91658
CUST000030,39,Female,Nagpur,4782447,Toyota,Sedan,Petrol,3,2195629,21,8808,0,99.2,0.2175,0,0,19578.0,Medium,29430
CUST000031,61,Female,Hyderabad,1469838,Kia,Hatchback,CNG,7,2666524,40,13174,0,80.1,0.5098,1,52607,26818.0,High,39205
CUST000032,42,Male,Bengaluru,3612737,Toyota,Sedan,Petrol,4,2004179,24,18356,0,87.8,0.369,1,169025,62362.0,Medium,87189
CUST000033,66,Male,Ahmedabad,4186044,Volkswagen,SUV,Petrol,5,1291123,40,29865,0,82.2,0.4848,1,27173,13175.0,High,20786
CUST000034,44,Female,Ahmedabad,1445166,Honda,Sedan,Diesel,3,1182508,26,12479,1,79.4,0.6329,0,0,56965.0,High,79903
CUST000035,59,Female,Pune,2120714,Ford,Hatchback,Petrol,1,2172271,40,27036,0,94.1,0.2679,0,0,24109.0,Medium,35547
CUST000036,45,Male,Bengaluru,2245741,Skoda,Luxury,EV,11,553603,27,22863,0,79.9,0.6137,1,232674,142803.0,High,150000
CUST000037,33,Female,Mumbai,1061258,Volkswagen,Sedan,CNG,6,1894502,22,25054,0,83.3,0.4795,0,0,43157.0,High,61262
CUST000038,32,Female,Pune,754409,Honda,SUV,Petrol,11,3595580,22,11947,1,74.9,0.8027,1,51952,41700.0,High,59295
CUST000039,64,Male,Visakhapatnam,2704516,Honda,Hatchback,Diesel,1,748438,40,31506,0,87.9,0.3434,1,90645,31128.0,Medium,45022
CUST000040,68,Male,Kochi,2151894,Mahindra,Hatchback,Petrol,10,3148213,40,25745,1,55.7,0.9184,1,35920,32990.0,High,47537
CUST000041,61,Male,Kochi,1054002,Kia,SUV,Diesel,11,2668022,40,27181,0,74.0,0.6909,1,95309,65848.0,High,91894
CUST000042,69,Male,Patna,3611375,Jeep,Sedan,Petrol,6,774946,40,23355,0,89.0,0.4051,1,62085,25154.0,Medium,36957
CUST000043,20,Female,Chennai,2673177,Ford,Sedan,Petrol,6,2824757,17,28268,0,84.5,0.4724,0,0,42514.0,High,60394
CUST000044,54,Female,Jaipur,2250283,Audi,Hatchback,Petrol,15,961156,36,17981,1,59.4,0.9284,0,0,83555.0,High,115799
CUST000045,68,Female,Bhopal,2974979,Nissan,Hatchback,CNG,0,527358,40,20806,0,86.0,0.3222,0,0,28997.0,Medium,42145
CUST000046,24,Male,Kochi,792176,Toyota,Luxury,Diesel,12,2105741,6,5066,0,81.2,0.5747,1,97644,56120.0,High,78762
CUST000047,38,Male,Delhi,880237,Ford,SUV,Petrol,9,1463667,20,33569,0,70.9,0.703,1,350345,246309.0,High,150000
CUST000048,26,Female,Ahmedabad,1222268,Maruti,Hatchback,Diesel,9,3143156,8,18335,0,80.4,0.5576,1,64392,35902.0,High,51468
CUST000049,56,Female,Chennai,2946510,Jeep,Sedan,CNG,11,1241941,38,13370,0,77.9,0.6156,1,48339,29756.0,High,43171
CUST000050,35,Female,Hyderabad,1847285,Honda,SUV,CNG,2,3934238,17,28851,0,88.6,0.3476,0,0,31282.0,Medium,45231
CUST000051,21,Female,Chennai,2185923,Mahindra,Hatchback,Petrol,2,596079,22,38037,1,70.0,0.7666,1,110353,84598.0,High,117208
CUST000052,42,Male,Surat,1736319,Mahindra,SUV,Diesel,12,1694893,24,32764,0,80.1,0.6534,1,55737,36421.0,High,52168
CUST000053,31,Female,Pune,809025,Ford,Hatchback,Petrol,12,458562,13,23822,1,61.8,0.9053,1,199799,180878.0,High,150000
CUST000054,67,Female,Coimbatore,3700622,Audi,Luxury,Diesel,14,3484359,40,11017,1,65.7,0.8905,1,216659,192930.0,High,150000
CUST000055,26,Male,Bhubaneswar,287524,Mahindra,Luxury,Diesel,10,464149,8,26573,3,42.9,0.9907,1,78700,77970.0,High,108259
CUST000056,43,Female,Surat,4579962,Audi,Hatchback,Petrol,5,3044040,25,37474,0,88.1,0.4301,1,475860,204671.0,Medium,150000
CUST000057,70,Female,Visakhapatnam,1483794,MG,Hatchback,Petrol,10,2990690,40,12893,0,80.8,0.5598,0,0,50382.0,High,71015
CUST000058,19,Male,Bhubaneswar,948062,Mercedes,SUV,Petrol,2,3087786,21,34508,1,63.6,0.8139,1,136671,111231.0,High,150000
